scenario_name,game_name,run_profile,model_mode,condition_label,episodes_n,pair_total_payoff_mean,agent_1_payoff_mean,agent_2_payoff_mean,agent_1_mean_overall_state,agent_2_mean_overall_state,agent_1_negative_state_share,agent_2_negative_state_share,game_metric_name,game_metric_value,interpretation_guardrail
S1,Prisoners Dilemma,paper,integrated_model,hybrid-neutral-neutral__vs__hybrid-neutral-neutral,20,1200.0,600.0,600.0,0.28061322565857466,0.28061322565857466,0.0,0.0,mutual cooperation rate,1.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S1,Prisoners Dilemma,paper,integrated_model,hybrid-neutral-neutral__vs__rational,20,442.0,186.0,256.0,-0.3885478976043458,-0.13025232937955775,1.0,0.495,mutual cooperation rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S1,Prisoners Dilemma,paper,integrated_model,hybrid-neutral-neutral__vs__emotional-neutral-neutral,20,1200.0,600.0,600.0,0.28061322565857466,0.28061322565857466,0.0,0.0,mutual cooperation rate,1.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S1,Prisoners Dilemma,paper,integrated_model,hybrid-neutral-neutral__vs__fixed-tit_for_tat,20,1200.0,600.0,600.0,0.28061322565857466,0.33284164847625614,0.0,0.0,mutual cooperation rate,1.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S1,Prisoners Dilemma,paper,integrated_model,rational__vs__hybrid-neutral-neutral,20,442.0,256.0,186.0,-0.13025232937955775,-0.3885478976043458,0.495,1.0,mutual cooperation rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S1,Prisoners Dilemma,paper,integrated_model,rational__vs__rational,20,400.0,200.0,200.0,0.12327453469561324,0.12327453469561324,0.0,0.0,mutual cooperation rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S1,Prisoners Dilemma,paper,integrated_model,rational__vs__emotional-neutral-neutral,20,643.0,524.0,119.0,-0.4644923791770598,-1.0426321615990903,0.825,1.0,mutual cooperation rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S1,Prisoners Dilemma,paper,integrated_model,rational__vs__fixed-tit_for_tat,20,403.0,204.0,199.0,0.11850965245892442,0.11852143047322745,0.0,0.025,mutual cooperation rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S1,Prisoners Dilemma,paper,integrated_model,emotional-neutral-neutral__vs__hybrid-neutral-neutral,20,1200.0,600.0,600.0,0.28061322565857466,0.28061322565857466,0.0,0.0,mutual cooperation rate,1.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S1,Prisoners Dilemma,paper,integrated_model,emotional-neutral-neutral__vs__rational,20,643.0,119.0,524.0,-1.0426321615990903,-0.4644923791770598,1.0,0.825,mutual cooperation rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S1,Prisoners Dilemma,paper,integrated_model,emotional-neutral-neutral__vs__emotional-neutral-neutral,20,1200.0,600.0,600.0,0.28061322565857466,0.28061322565857466,0.0,0.0,mutual cooperation rate,1.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S1,Prisoners Dilemma,paper,integrated_model,emotional-neutral-neutral__vs__fixed-tit_for_tat,20,1200.0,600.0,600.0,0.28061322565857466,0.33284164847625614,0.0,0.0,mutual cooperation rate,1.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S1,Prisoners Dilemma,paper,integrated_model,fixed-tit_for_tat__vs__hybrid-neutral-neutral,20,1200.0,600.0,600.0,0.33284164847625614,0.28061322565857466,0.0,0.0,mutual cooperation rate,1.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S1,Prisoners Dilemma,paper,integrated_model,fixed-tit_for_tat__vs__rational,20,403.0,199.0,204.0,0.11852143047322745,0.11850965245892442,0.025,0.0,mutual cooperation rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S1,Prisoners Dilemma,paper,integrated_model,fixed-tit_for_tat__vs__emotional-neutral-neutral,20,1200.0,600.0,600.0,0.33284164847625614,0.28061322565857466,0.0,0.0,mutual cooperation rate,1.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S1,Prisoners Dilemma,paper,integrated_model,fixed-tit_for_tat__vs__fixed-tit_for_tat,20,1200.0,600.0,600.0,0.33284164847625614,0.33284164847625614,0.0,0.0,mutual cooperation rate,1.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S1,Battle of Sexes,paper,integrated_model,hybrid-neutral-neutral__vs__hybrid-neutral-neutral,20,275.5,151.1,124.4,-0.8230553006326206,-0.8801997807870447,1.0,1.0,agreement rate,0.2755,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
