scenario_name,condition_id,condition_label,game_name,run_profile,episode_id,random_seed,agent_1_type,agent_2_type,fixed_strategy_2,metric_name,first_third_metric,last_third_metric,delta_metric,first_third_payoff_1,last_third_payoff_1,delta_payoff_1,simple_adaptation_lag_proxy
S1,S1_001_Prisoners_Dilemma_hybrid-neutral-neutral__hybrid-neutral-neutral,hybrid-neutral-neutral__vs__hybrid-neutral-neutral,Prisoners Dilemma,paper,1,20260430,emotional_rational,emotional_rational,,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S1,S1_001_Prisoners_Dilemma_hybrid-neutral-neutral__hybrid-neutral-neutral,hybrid-neutral-neutral__vs__hybrid-neutral-neutral,Prisoners Dilemma,paper,2,20260431,emotional_rational,emotional_rational,,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S1,S1_001_Prisoners_Dilemma_hybrid-neutral-neutral__hybrid-neutral-neutral,hybrid-neutral-neutral__vs__hybrid-neutral-neutral,Prisoners Dilemma,paper,3,20260432,emotional_rational,emotional_rational,,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S1,S1_001_Prisoners_Dilemma_hybrid-neutral-neutral__hybrid-neutral-neutral,hybrid-neutral-neutral__vs__hybrid-neutral-neutral,Prisoners Dilemma,paper,4,20260433,emotional_rational,emotional_rational,,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S1,S1_001_Prisoners_Dilemma_hybrid-neutral-neutral__hybrid-neutral-neutral,hybrid-neutral-neutral__vs__hybrid-neutral-neutral,Prisoners Dilemma,paper,5,20260434,emotional_rational,emotional_rational,,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S1,S1_001_Prisoners_Dilemma_hybrid-neutral-neutral__hybrid-neutral-neutral,hybrid-neutral-neutral__vs__hybrid-neutral-neutral,Prisoners Dilemma,paper,6,20260435,emotional_rational,emotional_rational,,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S1,S1_001_Prisoners_Dilemma_hybrid-neutral-neutral__hybrid-neutral-neutral,hybrid-neutral-neutral__vs__hybrid-neutral-neutral,Prisoners Dilemma,paper,7,20260436,emotional_rational,emotional_rational,,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S1,S1_001_Prisoners_Dilemma_hybrid-neutral-neutral__hybrid-neutral-neutral,hybrid-neutral-neutral__vs__hybrid-neutral-neutral,Prisoners Dilemma,paper,8,20260437,emotional_rational,emotional_rational,,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S1,S1_001_Prisoners_Dilemma_hybrid-neutral-neutral__hybrid-neutral-neutral,hybrid-neutral-neutral__vs__hybrid-neutral-neutral,Prisoners Dilemma,paper,9,20260438,emotional_rational,emotional_rational,,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S1,S1_001_Prisoners_Dilemma_hybrid-neutral-neutral__hybrid-neutral-neutral,hybrid-neutral-neutral__vs__hybrid-neutral-neutral,Prisoners Dilemma,paper,10,20260439,emotional_rational,emotional_rational,,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
