scenario_name,game_name,run_profile,model_mode,condition_label,episodes_n,pair_total_payoff_mean,agent_1_payoff_mean,agent_2_payoff_mean,agent_1_mean_overall_state,agent_2_mean_overall_state,agent_1_negative_state_share,agent_2_negative_state_share,game_metric_name,game_metric_value,interpretation_guardrail
S1,Prisoners Dilemma,paper,reported_runs_compat,hybrid-neutral-neutral__vs__hybrid-neutral-neutral,20,1200.0,600.0,600.0,0.24059729113124453,0.24059729113124453,0.0,0.0,mutual cooperation rate,1.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S1,Prisoners Dilemma,paper,reported_runs_compat,hybrid-neutral-neutral__vs__rational,20,409.0,197.0,212.0,-0.6291093923079399,-0.5962267386862736,1.0,0.97,mutual cooperation rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S1,Prisoners Dilemma,paper,reported_runs_compat,hybrid-neutral-neutral__vs__emotional-neutral-neutral,20,1200.0,600.0,600.0,0.24059729113124453,0.24059729113124453,0.0,0.0,mutual cooperation rate,1.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S1,Prisoners Dilemma,paper,reported_runs_compat,hybrid-neutral-neutral__vs__fixed-tit_for_tat,20,1200.0,600.0,600.0,0.24059729113124453,0.24059729113124453,0.0,0.0,mutual cooperation rate,1.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S1,Prisoners Dilemma,paper,reported_runs_compat,rational__vs__hybrid-neutral-neutral,20,409.0,212.0,197.0,-0.5962267386862736,-0.6291093923079399,0.97,1.0,mutual cooperation rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S1,Prisoners Dilemma,paper,reported_runs_compat,rational__vs__rational,20,400.0,200.0,200.0,-0.6228399686098542,-0.6228399686098542,1.0,1.0,mutual cooperation rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S1,Prisoners Dilemma,paper,reported_runs_compat,rational__vs__emotional-neutral-neutral,20,415.0,220.0,195.0,-0.5780051793583433,-0.6329571129609495,0.95,1.0,mutual cooperation rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S1,Prisoners Dilemma,paper,reported_runs_compat,rational__vs__fixed-tit_for_tat,20,403.0,204.0,199.0,-0.6140897775425893,-0.6249801626854559,0.99,1.0,mutual cooperation rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S1,Prisoners Dilemma,paper,reported_runs_compat,emotional-neutral-neutral__vs__hybrid-neutral-neutral,20,1200.0,600.0,600.0,0.24059729113124453,0.24059729113124453,0.0,0.0,mutual cooperation rate,1.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S1,Prisoners Dilemma,paper,reported_runs_compat,emotional-neutral-neutral__vs__rational,20,415.0,195.0,220.0,-0.6329571129609495,-0.5780051793583433,1.0,0.95,mutual cooperation rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
